Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
CTNNB1		3p22.1	AMP	5	1014	0.5%	Yes
LINC02069		3q27.1	HOMDEL	2	523	0.4%	No
RN7SL862P		18p11.22	AMP	7	595	1.2%	No
RN7SL601P		17p12	AMP	4	595	0.7%	No
DCC		18q21.2	HOMDEL	11	1425	0.8%	No
SART3		12q23.3	AMP	2	902	0.2%	No
GJA1		6q22.31	AMP	12	1481	0.8%	No
FAM66C		12p13.31	AMP	13	1537	0.8%	No
SERF1B		5q13.2	HOMDEL	9	1062	0.8%	No
HCG25		6p21.32	AMP	10	1062	0.9%	No
UBE2V2		8q11.21	AMP	54	1537	3.5%	No
TUSC2		3p21.31	HOMDEL	7	1537	0.5%	No
KCNU1		8p11.23	AMP	28	1537	1.8%	No
MRAS		3q22.3	HOMDEL	3	1425	0.2%	No
ZNF883		9q32	HOMDEL	5	902	0.6%	No
CITED4		1p34.2	AMP	48	1537	3.1%	No
INS		11p15.5	AMP	11	1537	0.7%	No
CCR4		3p22.3	AMP	6	1425	0.4%	No
CBX4		17q25.3	AMP	39	1537	2.5%	No
SPDYE2		7q22.1	AMP	7	1174	0.6%	No
RPL17		18q21.1	AMP	1	363	0.3%	No
EDA		Xq13.1	HOMDEL	1	539	0.2%	No
PRRC1		5q23.2	AMP	7	1537	0.5%	No
RN7SL861P		1q23.3	AMP	23	595	3.9%	No
DOCK4		7q31.1	AMP	6	1174	0.5%	No
ZNF705A		12p13.31	AMP	13	1537	0.8%	No
CNOT6		5q35.3	HOMDEL	2	1062	0.2%	No
LGALS16		19q13.2	HOMDEL	2	1062	0.2%	No
ARMC3		10p12.2	AMP	16	1425	1.1%	No
UBE3A		15q11.2	AMP	1	56	1.8%	No
CSAD		12q13.13	AMP	36	1537	2.3%	No
KTN1		14q22.1	AMP	2	1062	0.2%	Yes
LINC02899		5p14.2	AMP	16	595	2.7%	No
CCR5		3p21.31	AMP	6	1425	0.4%	No
CHST1		11p11.2	AMP	8	1062	0.8%	No
STON1-GTF2A1L		2p16.3	AMP	8	886	0.9%	No
AIRN		6q25.3	HOMDEL	2	1062	0.2%	No
NXT2		Xq23	AMP	2	1062	0.2%	No
RNA5SP188		5q21.1	HOMDEL	3	539	0.6%	No
RN7SL868P		5q32	AMP	1	539	0.2%	No
ATP13A2		1p36.13	AMP	16	1537	1.0%	No
UBBP4		17p11.2	AMP	8	595	1.3%	No
NAMA		9q22.33	HOMDEL	2	579	0.3%	No
BCL2L10		15q21.2	HOMDEL	3	1062	0.3%	No
ATP6V0CP3		6p21.1	AMP	5	523	1.0%	No
DNAAF4-CCPG1		15q21.3	HOMDEL	2	523	0.4%	No
TRPM1		15q13.3	HOMDEL	12	1537	0.8%	No
FTO		16q12.2	HOMDEL	9	1425	0.6%	No
SDHB		1p36.13	AMP	10	1537	0.7%	Yes
FBXO27		19q13.2	HOMDEL	3	1425	0.2%	No
SPRYD7		13q14.2	AMP	2	1062	0.2%	No
CEMIP		15q25.1	AMP	14	1425	1.0%	No
BTN2A3P		6p22.2	AMP	15	1537	1.0%	No
MLLT1		19p13.3	HOMDEL	9	1537	0.6%	Yes
USP16		21q21	HOMDEL	1	539	0.2%	No
SH3GL1		19p13.3	HOMDEL	12	1537	0.8%	Yes
FAM86B3P		8p23.1	HOMDEL	46	1174	3.9%	No
PEX10		1p36.32	AMP	8	1481	0.5%	No
CA1		8q21.2	HOMDEL	1	539	0.2%	No
LANCL2		7p11.2	AMP	11	1425	0.8%	No
RN7SL864P		20p12.1	AMP	2	539	0.4%	No
TRBV27		7q34	AMP	5	595	0.8%	No
SDHC		1q23.3	AMP	62	1734	3.6%	Yes
DEFA11P		8p23.1	HOMDEL	18	579	3.1%	No
ADGRL2		1p31.1	HOMDEL	4	1062	0.4%	No
PSG10P		19q13.2	AMP	19	1174	1.6%	No
LINC00690		3p24.3	AMP	8	1174	0.7%	No
POTEB		15q11.2	AMP	3	112	2.7%	No
TMEM43		3p25.1	HOMDEL	3	1425	0.2%	No
NOCT		4q31.1	HOMDEL	5	1425	0.4%	No
GAK		4p16.3	HOMDEL	7	1425	0.5%	No
PEX12		17q12	AMP	3	1118	0.3%	No
CDH1		16q22.1	HOMDEL	19	1425	1.3%	Yes
ERBIN		5q12.3	AMP	4	1062	0.4%	No
UGT2B11		4q13.2	HOMDEL	1	539	0.2%	No
C2CD4D		1q21.3	AMP	108	1537	7.0%	No
OR52L1		11p15.4	AMP	5	1425	0.4%	No
ZNF815P		7p22.1	AMP	18	1537	1.2%	No
IFT172		2p23.3	AMP	35	1537	2.3%	No
NLRP3		1q44	AMP	61	1537	4.0%	No
CSKMT		11q12.3	AMP	19	1537	1.2%	No
RNU4ATAC4P		1p31.3	AMP	5	539	0.9%	No
SNORD114-24		14q32.31	AMP	4	886	0.5%	No
DPPA2P3		3q29	HOMDEL	1	523	0.2%	No
SDHD		11q23.1	AMP	4	1014	0.4%	Yes
TMEM240		1p36.33	HOMDEL	10	1481	0.7%	No
VANGL2		1q23.2	AMP	62	1481	4.2%	No
SLC6A20		3p21.31	AMP	7	1425	0.5%	No
PEX13		2p15	AMP	11	1537	0.7%	No
KCNG2		18q23	HOMDEL	23	1537	1.5%	No
POTEKP		2q21.1	AMP	1	523	0.2%	No
GUCY2EP		11q13.5	AMP	30	1537	2.0%	No
LINC01097		4p15.33	AMP	5	523	1.0%	No
LINC02418		12q24.33	AMP	6	886	0.7%	No
OR10AB1P		11p15.4	HOMDEL	2	539	0.4%	No
PGBD3		10q11	HOMDEL	5	1425	0.4%	No
CACNG7		19q13.42	HOMDEL	2	1062	0.2%	No
FRAT2		10q24.1	AMP	13	1425	0.9%	No
BLNK		10q24.1	AMP	8	1425	0.6%	No
SLC20A2		8p11.21	HOMDEL	7	1174	0.6%	No
SPSB1		1p36.22	HOMDEL	8	1481	0.5%	No
SNORD114-23		14q32.31	AMP	4	886	0.5%	No
BCR		22q11.23	HOMDEL	3	1062	0.3%	Yes
CUBN		10p13	HOMDEL	2	902	0.2%	No
RBFOX1		16p13.3	AMP	14	1537	0.9%	No
RN7SKP2		13q14.11	HOMDEL	2	595	0.3%	No
ZNF891		12q24.33	AMP	11	1062	1.0%	No
FEZF2		3p14.2	AMP	6	1118	0.5%	No
TTC7A		2p21	AMP	32	1537	2.1%	No
PEX14		1p36.22	AMP	23	1537	1.5%	No
MBD1		18q21.1	HOMDEL	6	1425	0.4%	No
LTK		15q15.1	HOMDEL	10	1537	0.7%	Yes
NOP2		12p13.31	AMP	39	1537	2.5%	No
ALKBH2		12q24.11	AMP	2	902	0.2%	No
EXOSC2		9q34.12	AMP	5	1174	0.4%	No
B3GAT1-DT		11q25	HOMDEL	7	579	1.2%	No
ZNF800		7q31.33	HOMDEL	3	1425	0.2%	No
LINC00842		10q11.22	AMP	1	539	0.2%	No
RNA5SP455		18q12.3	HOMDEL	2	539	0.4%	No
GPR63		6q16.1	AMP	2	595	0.3%	No
RGS22		8q22.2	AMP	67	1537	4.4%	No
GCA		2q24.2	AMP	4	651	0.6%	No
ZDHHC9		Xq26.1	HOMDEL	3	651	0.5%	No
PLEKHH1		14q24.1	AMP	1	363	0.3%	No
RNA5S7		1q42.13	HOMDEL	1	539	0.2%	No
ZNF283		19q13.31	AMP	19	1174	1.6%	No
RN7SL105P		17p13.3	HOMDEL	2	539	0.4%	No
IGDCC4		15q22.31	HOMDEL	3	1062	0.3%	No
MZF1		19q13.43	AMP	25	1537	1.6%	No
PTDSS2		11p15.5	AMP	14	1537	0.9%	No
PF4		4q13.3	AMP	1	363	0.3%	No
SPINK14		5q32	HOMDEL	2	1062	0.2%	No
NODAL		10q22.1	AMP	16	1425	1.1%	No
HCG14		6p22.1	AMP	11	1174	0.9%	No
C8G		9q34.3	HOMDEL	3	902	0.3%	No
RSPH6A		19q13.3	AMP	33	1174	2.8%	No
SPATA31A7		9q12	AMP	8	1062	0.8%	No
APOBEC3B-AS1		22q13.1	HOMDEL	1	523	0.2%	No
FBXO46		19q13.32	AMP	35	1537	2.3%	No
MUC16		19p13.2	HOMDEL	5	1062	0.5%	No
KRTAP1-4		17q21.2	AMP	5	579	0.9%	No
KRT24		17q21.2	AMP	18	1537	1.2%	No
LINC00561		13q22.2	HOMDEL	4	595	0.7%	No
LMOD1		1q32.1	AMP	64	1537	4.2%	No
SLC45A4		8q24.3	AMP	78	1537	5.1%	No
OR51F1		11p15.4	AMP	6	1425	0.4%	No
GRAMD1B		11q24.1	AMP	8	1537	0.5%	No
LYPD5		19q13.31	AMP	18	1174	1.5%	No
OR5P2		11p15.4	HOMDEL	3	1062	0.3%	No
FPGT		1p31.1	AMP	6	1481	0.4%	No
RNY3P10		13q21.33	HOMDEL	4	595	0.7%	No
LINC00408		13q12.11	HOMDEL	4	579	0.7%	No
GAB3		Xq28	AMP	16	1537	1.0%	No
GK		Xp21.2	HOMDEL	10	1481	0.7%	No
PF4V1		4q13.3	AMP	1	363	0.3%	No
ZNF41		Xp11.3	AMP	31	1537	2.0%	No
ARCN1		11q23.3	AMP	22	1537	1.4%	No
NNMT		11q23.2	AMP	4	1014	0.4%	No
ALDH1L1		3q21.3	HOMDEL	2	1062	0.2%	No
COTL1		16q24.1	AMP	4	1425	0.3%	No
OR2AG2		11p15.4	AMP	7	1425	0.5%	No
RN7SKP165		1q42.12	HOMDEL	1	539	0.2%	No
INSIG1		7q36.3	AMP	9	1537	0.6%	No
MYO16		13q33.3	HOMDEL	4	1118	0.4%	No
PTBP3		9q32	AMP	3	1062	0.3%	No
MTG2		20q13.33	AMP	67	1537	4.4%	No
BCL9L		11q23.3	AMP	25	1537	1.6%	Yes
HOXA11-AS		7p15.2	AMP	14	942	1.5%	No
PTCHD4		6p12.3	AMP	9	1481	0.6%	No
SNORD114-22		14q32.31	AMP	4	886	0.5%	No
SEC13		3p25.3	AMP	5	902	0.6%	No
RPL7A		9q34.2	AMP	9	1425	0.6%	No
TMEM187		Xq28	HOMDEL	3	651	0.5%	No
AGO3		1p34.3	AMP	39	1537	2.5%	No
MED28		4p15.32	HOMDEL	5	1425	0.4%	No
ADGRG6		6q24.2	AMP	10	1481	0.7%	No
USP31		16p12.2	AMP	7	1425	0.5%	No
SHROOM4		Xp11.22	AMP	23	1537	1.5%	No
SIGLEC11		19q13.33	HOMDEL	2	1062	0.2%	No
OR10A4		11p15.4	HOMDEL	5	1062	0.5%	No
RNA5SP306		10p12.1	AMP	4	539	0.7%	No
PFAS		17p13.1	AMP	8	1174	0.7%	No
TNFRSF10D		8p21.3	AMP	7	1425	0.5%	No
TRIM23		5q12.3	AMP	4	1062	0.4%	No
NMT1		17q21.31	AMP	12	1537	0.8%	No
FOXN4		12q24.11	AMP	2	902	0.2%	No
DICER1		14q32.13	AMP	7	1425	0.5%	Yes
CTTNBP2NL		1p13.2	AMP	6	1118	0.5%	No
SLC12A6		15q14	AMP	3	1425	0.2%	No
SEC14L1		17q25.2-q25.3	AMP	24	1537	1.6%	No
TENM4		11q14.1	HOMDEL	4	112	3.6%	No
SLC39A6		18q12.2	AMP	11	1537	0.7%	No
CYS1		2p25.1	AMP	38	1537	2.5%	No
PRR12		19q13.33	AMP	28	1537	1.8%	No
TP73-AS1		1p36.32	AMP	2	886	0.2%	No
ZNF575		19q13.31	AMP	19	1174	1.6%	No
CFP		Xp11.23	AMP	32	1537	2.1%	No
OC90		8q24.22	HOMDEL	3	1425	0.2%	No
TNFRSF11A		18q21.33	AMP	4	902	0.4%	Yes
BRINP3		1q31.1	HOMDEL	1	539	0.2%	No
RGMB		5q15	HOMDEL	7	1425	0.5%	No
ZNF43		19p12	AMP	31	1537	2.0%	No
AREG		4q13.3	AMP	1	363	0.3%	No
IFNA7		9p21.3	HOMDEL	1	539	0.2%	No
NQO2		6p25.2	AMP	26	1537	1.7%	No
C15ORF32		15q26.1	AMP	18	1537	1.2%	No
MARK2P9		10q23.33	HOMDEL	2	523	0.4%	No
EMC4		15q14	HOMDEL	11	1537	0.7%	No
MECR		1p35.3	AMP	7	1425	0.5%	No
TEX264		3p21.2	AMP	6	1425	0.4%	No
LINC00997		7p14.3	AMP	7	523	1.3%	No
GPCPD1		20p12.3	AMP	12	1174	1.0%	No
BCLAF3		Xp22.12	AMP	1	539	0.2%	No
TMOD4		1q21.3	AMP	117	1537	7.6%	No
C10ORF71		10q11.23	HOMDEL	5	1425	0.4%	No
IL4		5q31.1	HOMDEL	1	539	0.2%	No
SIRT5		6p23	AMP	23	1537	1.5%	No
TMEM179		14q32.33	AMP	22	1537	1.4%	No
BAMBI		10p12.1	AMP	12	1537	0.8%	No
MYOCD-AS1		17p12	HOMDEL	3	523	0.6%	No
C1ORF56		1q21.3	AMP	119	1537	7.7%	No
ALG8		11q14.1	AMP	27	1537	1.8%	No
ADH1B		4q23	HOMDEL	4	1425	0.3%	No
SSBP2		5q14.1	HOMDEL	9	1425	0.6%	No
CDHR1		10q23.1	HOMDEL	4	1425	0.3%	No
EIF2AK1		7p22.1	AMP	12	1537	0.8%	No
WIPI1		17q24.2	AMP	27	1537	1.8%	No
RAB3IL1		11q12.2-q12.3	HOMDEL	3	475	0.6%	No
ARF1		1q42.13	AMP	50	1537	3.3%	No
GALR3		22q13.1	HOMDEL	1	56	1.8%	No
CDX4		Xq13.2	HOMDEL	1	539	0.2%	No
VAX2		2p13.3	AMP	6	1014	0.6%	No
TRBV19		7q34	AMP	5	595	0.8%	No
POP5		12q24.31	AMP	16	1425	1.1%	No
GARS1-DT		7p14.3	AMP	6	523	1.1%	No
LINC01214		3q25.1	HOMDEL	1	523	0.2%	No
LRRC8A		9q34.11	AMP	17	1537	1.1%	No
SERP2		13q14.11	AMP	12	1481	0.8%	Yes
GGNBP1		6p21.31	AMP	26	1537	1.7%	No
ZC2HC1A		8q21.13	AMP	40	1537	2.6%	No
ARF3		12q13.12	AMP	9	1425	0.6%	No
RTP2		3q27.3	HOMDEL	6	1425	0.4%	No
H4C3		6p22.2	HOMDEL	1	539	0.2%	No
RN7SL558P		4p14	HOMDEL	2	539	0.4%	No
TMOD3		15q21.2	AMP	5	1174	0.4%	No
TRPM8		2q37.1	AMP	11	1537	0.7%	No
UCKL1		20q13.33	AMP	66	1537	4.3%	No
RNA5SP332		11p15.2	HOMDEL	4	539	0.7%	No
LINC00347		13q22.1	HOMDEL	6	1174	0.5%	No
CACYBP		1q25.1	AMP	48	1481	3.2%	No
SUSD4		1q41	AMP	43	1537	2.8%	No
PPM1H		12q14.1-q14.2	AMP	5	1062	0.5%	No
PPEF2		4q21.1	HOMDEL	2	1062	0.2%	No
IFNA8		9p21.3	HOMDEL	1	539	0.2%	No
STPG3-AS1		9q34.3	AMP	8	579	1.4%	No
SENP3		17p13	AMP	8	1537	0.5%	No
LINC01126		2p21	AMP	16	942	1.7%	No
ABHD17B		9q21.13	AMP	6	1062	0.6%	No
CCDC61		19q13.32	AMP	25	1537	1.6%	No
MAPK11		22q13.33	HOMDEL	46	1537	3.0%	No
ARF4		3p14.3	AMP	1	539	0.2%	No
PLN		6q22.31	HOMDEL	2	1062	0.2%	No
SNX25		4q35.1	HOMDEL	17	1537	1.1%	No
SNORD83A		22q13.1	AMP	15	1062	1.4%	No
SPDEF		6p21.31	AMP	27	1537	1.8%	No
TMOD2		15q21.2	AMP	5	1174	0.4%	No
LINGO3		19p13.3	AMP	4	1425	0.3%	No
SLC25A51P1		6q12	AMP	3	942	0.3%	No
TIPIN		15q22.31	AMP	6	1425	0.4%	No
ISY1		3q21.3	AMP	35	1537	2.3%	No
ADCY5		3q21.1	AMP	20	1425	1.4%	No
TMEM170A		16q23.1	HOMDEL	19	1425	1.3%	No
RNA5SP509		Xq21.1	AMP	1	539	0.2%	No
KRTAP2-2		17q21.2	HOMDEL	1	363	0.3%	No
ARL4D		17q21.31	AMP	9	1537	0.6%	No
PCDHB5		5q31.3	AMP	2	112	1.8%	No
ADCY7		16q12.1	AMP	7	1425	0.5%	No
SNORD83B		22q13.1	AMP	15	1062	1.4%	No
RFNG		17q25.3	HOMDEL	2	1062	0.2%	No
HCG9		6p22.1	HOMDEL	3	1425	0.2%	No
L3MBTL1		20q13.12	HOMDEL	1	539	0.2%	No
GCNT2P1		6p24.2	HOMDEL	1	539	0.2%	No
LSM4		19p13.11	AMP	66	1537	4.3%	No
SIRT4		12q24.31	AMP	19	1425	1.3%	No
RNA5SP346		11q21	HOMDEL	3	539	0.6%	No
MYORG		9p13.3	AMP	17	1481	1.1%	No
SSH3		11q13.2	AMP	48	1537	3.1%	No
ADCY6		12q13.12	AMP	5	1425	0.4%	No
PRRG4		11p13	AMP	7	1425	0.5%	No
B3GALT6		1p36.33	HOMDEL	10	1481	0.7%	No
SNORD3D		17p11.2	HOMDEL	5	595	0.8%	No
GAGE12H		Xp11.23	AMP	12	595	2.0%	No
RN7SL677P		15q26.2	HOMDEL	2	539	0.4%	No
RPL17-C18ORF32		18q21.1	HOMDEL	1	523	0.2%	No
AADACL2-AS1		3q25.1	HOMDEL	2	579	0.3%	No
SERTM1		13q13.3	AMP	4	1481	0.3%	No
PLA2G2D		1p36.12	HOMDEL	8	1481	0.5%	No
LINC00900		11q23.3	AMP	5	1174	0.4%	No
TTLL1		22q13.2	AMP	10	1425	0.7%	No
RNA5SP190		5q23.1	HOMDEL	2	539	0.4%	No
REREP3		15q11.2	AMP	2	56	3.6%	No
AIDA		1q41	HOMDEL	3	1425	0.2%	No
USP25		21q21.1	AMP	6	1118	0.5%	No
ADCY8		8q24.22	AMP	78	1537	5.1%	No
SLC7A11-AS1		4q28.3	HOMDEL	2	523	0.4%	No
LINC01349		1p21.2	AMP	3	523	0.6%	No
TFB1M		6q25.3	AMP	7	1014	0.7%	No
FOXR1		11q23.3	HOMDEL	8	1537	0.5%	No
SELENOO		22q13.33	AMP	4	886	0.5%	No
ZBTB11		3q12.3	AMP	9	1537	0.6%	No
ZNF302		19q13.11	AMP	71	1537	4.6%	No
ARRDC2		19p13.11	AMP	60	1537	3.9%	No
PDPR		16q22.1	AMP	16	1425	1.1%	No
RMST		12q23.1	HOMDEL	1	539	0.2%	No
SNORD116-5		15q11.2	HOMDEL	4	579	0.7%	No
PRRG3		Xq28	AMP	12	1537	0.8%	No
MERTK		2q13	AMP	8	1118	0.7%	Yes
CARD8		19q13.33	HOMDEL	7	1425	0.5%	No
TMEM70		8q21.11	AMP	45	1537	2.9%	No
OR5AR1		11q12.1	HOMDEL	5	1537	0.3%	No
RNA5SP511		Xq22.2	AMP	2	539	0.4%	No
PHF20L1		8q24.22	AMP	71	1537	4.6%	No
PPM1L		3q25.33-q26.1	AMP	52	1481	3.5%	No
FBXO40		3q13.33	HOMDEL	3	1425	0.2%	No
ZNF341-AS1		20q11.22	AMP	16	579	2.8%	No
CXCL17		19q13.2	AMP	18	1537	1.2%	No
ADCY9		16p13.3	AMP	14	1425	1.0%	No
FAM107B		10p13	AMP	18	1537	1.2%	No
SNORD139		22q13.1	AMP	7	523	1.3%	No
TEX15		8p12	HOMDEL	32	1537	2.1%	No
SLC52A1		17p13.2	AMP	9	1537	0.6%	No
LRRC37BP1		17q11.2	AMP	10	1118	0.9%	No
ASPSCR1		17q25.3	AMP	38	1537	2.5%	Yes
HCG11		6p22.2	AMP	15	1537	1.0%	No
NUTM1		15q14	AMP	3	1425	0.2%	Yes
CLEC10A		17p13.1	AMP	8	1537	0.5%	No
COL4A4		2q36.3	HOMDEL	6	1425	0.4%	No
NAMPT		7q22.3	HOMDEL	2	902	0.2%	No
CT55		Xq26.3	AMP	5	1481	0.3%	No
RNA5SP510		Xq21.33	AMP	2	539	0.4%	No
EPSTI1		13q14.11	HOMDEL	5	1537	0.3%	No
OR10H4		19p13.12	AMP	72	1537	4.7%	No
RHBDD3		22q12.2	AMP	22	1537	1.4%	No
MESP2		15q26.1	AMP	16	1537	1.0%	No
PPP1R3G		6p25.1	AMP	26	1537	1.7%	No
PHTF1		1p13.2	HOMDEL	3	1425	0.2%	No
SCN9A		2q24.3	HOMDEL	2	1062	0.2%	No
GSTP1		11q13.2	HOMDEL	2	1062	0.2%	No
PACSIN3		11p11.2	AMP	15	1425	1.1%	No
SCAMP1-AS1		5q14.1	HOMDEL	3	523	0.6%	No
ADCYAP1		18p11.32	AMP	33	1537	2.1%	No
TLX1		10q24.31	HOMDEL	6	1425	0.4%	Yes
RAMAC		15q25.2	AMP	14	1425	1.0%	No
CLRN1-AS1		3q25.1	AMP	25	942	2.7%	No
METTL9		16p12.2	AMP	12	1425	0.8%	No
SNHG14		15q11.2	HOMDEL	9	595	1.5%	No
OR52R1		11p15.4	AMP	6	1425	0.4%	No
GPR157		1p36.22	AMP	11	1537	0.7%	No
TRMT6		20p12.3	HOMDEL	1	539	0.2%	No
KHDRBS2		6q11.1	AMP	10	1537	0.7%	No
SPATA6L		9p24.2-p24.1	AMP	28	1537	1.8%	No
RNA5SP513		Xq25	AMP	1	56	1.8%	No
PTH2R		2q34	HOMDEL	6	1425	0.4%	No
USP14		18p11.32	HOMDEL	1	539	0.2%	No
RRN3		16p13.11	AMP	17	1537	1.1%	No
KCTD8		4p13	HOMDEL	6	1062	0.6%	No
CSTF3-DT		11p13	AMP	4	523	0.8%	No
NHLRC3		13q13.3	AMP	1	56	1.8%	No
MOB1B		4q13.3	HOMDEL	1	539	0.2%	No
C8ORF44		8q13.1	AMP	40	1537	2.6%	No
PRKCZ		1p36.33	HOMDEL	10	1481	0.7%	No
ZNF674-AS1		Xp11.3	AMP	8	579	1.4%	No
APH1A		1q21.2	AMP	101	1537	6.6%	Yes
ADCYAP1R1		7p14.3	AMP	20	1425	1.4%	No
SRRM2-AS1		16p13.3	AMP	5	523	1.0%	No
PIGX		3q29	AMP	107	1537	7.0%	No
OR51F2		11p15.4	AMP	6	1425	0.4%	No
AMIGO3		3p21.31	AMP	18	1537	1.2%	No
LINC01806		2q24.2	AMP	2	579	0.3%	No
ZCWPW1		7q22.1	AMP	25	1537	1.6%	No
TACC3		4p16.3	AMP	58	1537	3.8%	No
RNA5SP512		Xq23	AMP	1	539	0.2%	No
RTTN		18q22.2	HOMDEL	23	1537	1.5%	No
C16ORF87		16q11.2	HOMDEL	6	1537	0.4%	No
CNOT4		7q33	AMP	14	1537	0.9%	No
DDX6		11q23.3	HOMDEL	6	1425	0.4%	Yes
RNA5SP516		Xq27.2	AMP	2	539	0.4%	No
MPHOSPH6		16q23.3	AMP	2	902	0.2%	No
COG5		7q22.3	AMP	5	1014	0.5%	No
TMED11P		4p16.3	AMP	17	1118	1.5%	No
C8ORF17		8q24.3	AMP	29	595	4.9%	No
TCAF1		7q35	AMP	11	1537	0.7%	No
ADD1		4p16.3	AMP	22	1481	1.5%	No
MCTP1		5q15	HOMDEL	12	1425	0.8%	No
P4HA2		5q31.1	HOMDEL	1	539	0.2%	No
ZNF716		7p11.2	HOMDEL	3	1425	0.2%	No
IPP		1p34.1	AMP	26	1537	1.7%	No
RNA5SP515		Xq26.3	AMP	3	595	0.5%	No
RNA5SP65		1q24.1	AMP	20	595	3.4%	No
GAGE2A		Xp11.23	AMP	22	1174	1.9%	No
RN7SL697P		Xq28	AMP	12	595	2.0%	No
LGR5		12q21.1	AMP	27	1537	1.8%	No
TMEM26		10q21.2	HOMDEL	2	902	0.2%	No
RNU105B		20p12.3	HOMDEL	2	595	0.3%	No
ZNHIT1		7q22.1	AMP	12	1537	0.8%	No
TSNAXIP1		16q22.1	HOMDEL	14	1425	1.0%	No
NME6		3p21.31	AMP	22	1481	1.5%	No
FSTL5		4q32.2	HOMDEL	12	1425	0.8%	No
LINC01829		2p14	AMP	3	579	0.5%	No
FREM2		13q13.3	HOMDEL	5	1537	0.3%	No
LINC00476		9q22.32	AMP	3	1062	0.3%	No
GPR174		Xq21.1	HOMDEL	3	1062	0.3%	No
ADD2		2p13.3	AMP	6	1014	0.6%	No
CLSTN3		12p13.31	AMP	28	1537	1.8%	No
FAM230I		22q11.23	HOMDEL	1	523	0.2%	No
CR2		1q32.2	HOMDEL	2	112	1.8%	No
LRRC72		7p21.1	AMP	15	1174	1.3%	No
ALDH1A2		15q21.3	HOMDEL	7	1062	0.7%	No
FAM174A		5q21.1	HOMDEL	7	1425	0.5%	No
RNA5SP514		Xq26.2	AMP	2	595	0.3%	No
PMP22		17p12	HOMDEL	8	1425	0.6%	No
PDX1		13q12.2	AMP	2	1062	0.2%	No
RN7SL673P		15q13.2	AMP	4	539	0.7%	No
RN7SL753P		2q33.1	HOMDEL	1	539	0.2%	No
SAAL1		11p15.1	HOMDEL	1	539	0.2%	No
LINC02115		5q21.2	HOMDEL	3	523	0.6%	No
BLZF1		1q24.2	AMP	46	1481	3.1%	No
PRSS35		6q14.2	AMP	7	1481	0.5%	No
OR5D18		11q12.1	AMP	9	1174	0.8%	No
RN7SL658P		Xp22.2	AMP	1	56	1.8%	No
RN7SL419P		4q31.3	HOMDEL	3	539	0.6%	No
CDC40		6q21	AMP	14	1537	0.9%	No
PIBF1		13q21.33-q22.1	AMP	14	1537	0.9%	No
RNA5SP68		1q25.1	AMP	19	595	3.2%	No
USP17L25		4p16.1	HOMDEL	2	1062	0.2%	No
DMAC2L		14q21.3	AMP	5	1537	0.3%	No
PHACTR2		6q24.2	AMP	6	1481	0.4%	No
MRPL42P5		15q15.1	HOMDEL	6	942	0.6%	No
DNASE1L3		3p14.3	HOMDEL	7	1537	0.5%	No
CYP4Z1		1p33	HOMDEL	2	1062	0.2%	No
LINC00525		7p12.3	AMP	19	1062	1.8%	No
IKZF3		17q12-q21.1	HOMDEL	2	1062	0.2%	Yes
REEP5		5q22.2	HOMDEL	4	1062	0.4%	No
RNA5SP67		1q25.1	AMP	20	595	3.4%	No
COQ9		16q21	HOMDEL	11	1425	0.8%	No
TMEM204		16p13.3	HOMDEL	5	1174	0.4%	No
SLC30A9		4p13	AMP	1	539	0.2%	No
CDK5		7q36.1	HOMDEL	5	1425	0.4%	No
HOOK1		1p32.1	AMP	7	1062	0.7%	No
LRAT		4q32.1	HOMDEL	5	1062	0.5%	No
RN7SL650P		14q11.2	AMP	4	539	0.7%	No
PPIH		1p34.2	AMP	37	1481	2.5%	No
RNA5SP517		Xq27.3	AMP	3	539	0.6%	No
PHKA2		Xp22.13	HOMDEL	7	1481	0.5%	No
RN7SKP34		5q14.3	HOMDEL	5	539	0.9%	No
SLK		10q24.33-q25.1	AMP	10	1425	0.7%	No
CCDC3		10p13	AMP	19	1537	1.2%	No
OR4D6		11q12.1	HOMDEL	6	998	0.6%	No
MIR503HG		Xq26.3	AMP	3	958	0.3%	No
C1ORF100		1q44	AMP	63	1537	4.1%	No
HINT3		6q22.32	HOMDEL	5	1425	0.4%	No
ANKRD26P1		16q11.2	AMP	22	1174	1.9%	No
RNA5SP66		1q24.2	AMP	20	595	3.4%	No
PPP1R32		11q12.2	HOMDEL	5	1014	0.5%	No
LINC00972		7q21.11	AMP	2	595	0.3%	No
HDHD5-AS1		22q11.1	AMP	5	886	0.6%	No
NUTF2		16q22.1	AMP	2	1062	0.2%	No
FGF2		4q28.1	HOMDEL	7	1425	0.5%	No
RNA5SP71		1q25.3	AMP	26	595	4.4%	No
OR5D14		11q11	AMP	9	1174	0.8%	No
ZMYND10		3p21.31	AMP	20	1537	1.3%	No
SLC35F4		14q22.3-q23.1	HOMDEL	2	539	0.4%	No
SFTPA2		10q22.3	HOMDEL	4	1425	0.3%	No
C3ORF86		3p21.31	AMP	1	539	0.2%	No
CLDN10		13q32.1	HOMDEL	1	56	1.8%	No
BHLHA15		7q21.3	AMP	9	1537	0.6%	No
GAS5-AS1		1q25.1	AMP	12	523	2.3%	No
GEMIN8		Xp22.2	AMP	7	1425	0.5%	No
PGK1		Xq21.1	HOMDEL	3	1062	0.3%	No
